a,b,c,d,e
ARCHIT ORGANOSYS LTD.,ARCHITORG,,Chemicals,https://halalstock.in/is-archit-organosys-ltd-halal-and-shariah-compliant/
ARCL Organics Ltd,ARCL,,Commodity Chemicals,https://halalstock.in/is-arcl-organics-ltd-halal-and-shariah-compliant/
ARFIN INDIA LTD,ARFIN,,Aluminium and Aluminium Products,https://halalstock.in/is-arfin-india-ltd-halal-and-shariah-compliant/
Arham Technologies Ltd,,ARHAM,Consumer Electronics,https://halalstock.in/is-arham-technologies-ltd-halal-and-shariah-compliant/
ARIES AGRO LTD.,ARIES,ARIES,Fertilizers,https://halalstock.in/is-aries-agro-ltd-halal-and-shariah-compliant/
Arihant Academy Ltd,,ARIHANTACA,Miscellaneous,https://halalstock.in/is-arihant-academy-ltd-halal-and-shariah-compliant/
Arihant Institute Ltd,ARIHANTINS,,Education,https://halalstock.in/is-arihant-institute-ltd-halal-and-shariah-compliant/
Arisinfra Solutions Ltd,,ARISINFRA,Other Construction Materials,https://halalstock.in/is-arisinfra-solutions-ltd-halal-and-shariah-compliant/
Arkade Developers Limited,ARKADE,ARKADE,Residential Commercial Projects,https://halalstock.in/is-arkade-developers-limited-halal-and-shariah-compliant/
Arman Holdings Ltd.,ARMAN,,Trading,https://halalstock.in/is-arman-holdings-ltd-halal-and-shariah-compliant/
ARROW GREENTECH LTD,ARROWGREEN,ARROWGREEN,Plastics Products,https://halalstock.in/is-arrow-greentech-ltd-halal-and-shariah-compliant/
ART NIRMAN LTD,,ARTNIRMAN,Construction,https://halalstock.in/is-art-nirman-ltd-halal-and-shariah-compliant/
ARTEMIS ELECTRICALS LTD,ARTEMISELC,,Electric Equipment,https://halalstock.in/is-artemis-electricals-ltd-halal-and-shariah-compliant/
ARTEMIS MEDICARE SERVICES LTD,ARTEMISMED,ARTEMISMED,Healthcare,https://halalstock.in/is-artemis-medicare-services-ltd-halal-and-shariah-compliant/
ARTSON ENGINEERING LTD.,ARTSONEN,,Engineering - Turnkey Services,https://halalstock.in/is-artson-engineering-ltd-halal-and-shariah-compliant/
Arunaya Organics Limited,,ARUNAYA,Dyes And Pigments,https://halalstock.in/is-arunaya-organics-limited-halal-and-shariah-compliant/
ARUNJYOTI BIO VENTURES LTD,ABVL,,Trading,https://halalstock.in/is-arunjyoti-bio-ventures-ltd-halal-and-shariah-compliant/
ARVEE LABORAT.,,ARVEE,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-arvee-laborat-halal-and-shariah-compliant/
ARVIND AND COMPANY SHIPPING AGENCIES LIMITED,,ACSAL,Shipping,https://halalstock.in/is-arvind-and-company-shipping-agencies-limited-halal-and-shariah-compliant/
ARVIND FASHIONS LTD,ARVINDFASN,ARVINDFASN,Trading,https://halalstock.in/is-arvind-fashions-ltd-halal-and-shariah-compliant/
ARVIND LTD.,ARVIND,ARVIND,Textiles - Cotton/Blended,https://halalstock.in/is-arvind-ltd-halal-and-shariah-compliant/
ARVIND SMARTSPACES LTD,ARVSMART,ARVSMART,Construction,https://halalstock.in/is-arvind-smartspaces-ltd-halal-and-shariah-compliant/
ASAHI INDIA GLASS LTD.,ASAHIINDIA,ASAHIINDIA,Glass &amp; Glass Products,https://halalstock.in/is-asahi-india-glass-ltd-halal-and-shariah-compliant/
Asarfi Hospital Ltd,ASARFI,,Hospital,https://halalstock.in/is-asarfi-hospital-ltd-halal-and-shariah-compliant/
Ascensive Educare Ltd,ASCENSIVE,,Education,https://halalstock.in/is-ascensive-educare-ltd-halal-and-shariah-compliant/
ASHAPURI GOLD ORNAMENT LTD,AGOL,,Diamond Cutting / Jewellery,https://halalstock.in/is-ashapuri-gold-ornament-ltd-halal-and-shariah-compliant/
ASHIANA HOUSING LTD.,ASHIANA,ASHIANA,Construction,https://halalstock.in/is-ashiana-housing-ltd-halal-and-shariah-compliant/
ASI INDUSTRIES LTD,ASIIL,,Mining / Minerals / Metals,https://halalstock.in/is-asi-industries-ltd-halal-and-shariah-compliant/
ASIAN ENERGY SERVICES LTD,ASIANENE,ASIANENE,Oil Drilling / Allied Services,https://halalstock.in/is-asian-energy-services-ltd-halal-and-shariah-compliant/
ASIAN PAINTS LTD.,ASIANPAINT,ASIANPAINT,Paints / Varnishes,https://halalstock.in/is-asian-paints-ltd-halal-and-shariah-compliant/
ASIAN PETROPRODUCTS &amp; EXPORTS LTD.,ASINPET,,Chemicals,https://halalstock.in/is-asian-petroproducts-exports-ltd-halal-and-shariah-compliant/
ASK Automotive Ltd,ASKAUTOLTD,ASKAUTOLTD,Auto Components &amp; Equipments,https://halalstock.in/is-ask-automotive-ltd-halal-and-shariah-compliant/
ASM TECHNOLOGIES LTD.,ASMTEC,,Computers - Software - Medium / Small,https://halalstock.in/is-allcargo-gati-halal-and-shariah-compliant/
ASPIRA PATHLAB &amp; DIAGNOSTICS LTD,ASPIRA,,Healthcare,https://halalstock.in/is-global-surfaces-ltd-halal-and-shariah-compliant/
ASSOCIATED CERAMICS LTD,ASSOCER,,Other Construction Materials,https://halalstock.in/is-associated-ceramics-ltd-halal-and-shariah-compliant/
Associated Coaters Ltd,ASSOCIATED,,Other Industrial Products,https://halalstock.in/is-associated-coaters-ltd-halal-and-shariah-compliant/
Astal Laboratories Ltd,ASTALLTD,,Pharmaceuticals,https://halalstock.in/is-astal-laboratories-ltd-halal-and-shariah-compliant/
ASTEC LIFESCIENCES LIMITED,ASTEC,ASTEC,Pesticides / Agrochemicals - Indian,https://halalstock.in/is-irb-invit-fund-halal-and-shariah-compliant/
ASTER DM HEALTHCARE LTD,ASTERDM,ASTERDM,Healthcare,https://halalstock.in/is-jtl-industries-ltd-halal-and-shariah-compliant/
Astonea Labs Ltd,ASTONEALAB,,Pharmaceuticals,https://halalstock.in/is-astonea-labs-ltd-halal-and-shariah-compliant/
ASTRA MICROWAVE PRODUCTS LTD.,ASTRAMICRO,ASTRAMICRO,Telecommunications - Equipment,https://halalstock.in/is-netweb-technologies-india-ltd-halal-and-shariah-compliant/
ASTRAL LTD,ASTRAL,ASTRAL,Plastics Products,https://halalstock.in/is-ndl-ventures-halal-and-shariah-compliant/
ASTRAZENECA PHARMA INDIA LTD.,ASTRAZEN,ASTRAZEN,Pharmaceuticals - Multinational,https://halalstock.in/is-orient-ceratech-halal-and-shariah-compliant/
ATAL REALTECH,,ATALREAL,Construction,https://halalstock.in/is-pramara-promotions-ltd-halal-and-shariah-compliant/
ATAM VALVES LTD,ATAM,ATAM,Auto Ancillaries,https://halalstock.in/is-prozone-realty-halal-and-shariah-compliant/
ATC Energies System Limited,,ATCENERGY,Dry Cells,https://halalstock.in/is-atc-energies-system-limited-halal-and-shariah-compliant/
Ather Energy Limited,,ATHERENERG,2/3 Wheelers,https://halalstock.in/is-ather-energy-limited-halal-and-shariah-compliant/
ATISHAY LTD,ATISHAY,,Computers - Software - Medium / Small,https://halalstock.in/is-raj-rayon-industries-limited-halal-and-shariah-compliant/
Atlanta Electricals,,ATLANTAELE,Heavy Electrical Equipment,https://halalstock.in/is-atlanta-electricals-halal-and-shariah-compliant/
ATLAS CYCLES (HARYANA) LTD.,ATLASCYCLE,,Cycles And Accessories,https://halalstock.in/is-sampann-utpadan-halal-and-shariah-compliant/
ATLAS JEWELLERY INDIA LIMITED,AJIL,,Diamond Cutting / Jewellery,https://halalstock.in/is-sah-polymers-ltd-halal-and-shariah-compliant/
Atmastco Ltd,,ATMASTCO,Civil Construction,https://halalstock.in/is-atmastco-ltd-halal-and-shariah-compliant/
ATUL LTD.,ATUL,ATUL,Dyes And Pigments,https://halalstock.in/is-sonam-clock-halal-and-shariah-compliant/
ATV PROJECTS INDIA LTD.,ATVPR,,Engineering - Turnkey Services,https://halalstock.in/is-spectrum-talent-management-ltd-halal-and-shariah-compliant/
AURIONPRO SOLUTIONS LTD.,AURIONPRO,AURIONPRO,Computers - Software - Medium / Small,https://halalstock.in/is-tvs-supply-chain-solutions-ltd-halal-and-shariah-compliant/
AUROBINDO PHARMA LTD.,AUROPHARMA,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-w-s-industries-india-ltd-halal-and-shariah-compliant/
Aurum PropTech Limited,AURUM,AURUM,Services,https://halalstock.in/is-fedbank-financial-services-ltd-halal-and-shariah-compliant/
AUSOM ENTERPRISE LIMITED,AUSOMENT,AUSOMENT,Finance &amp; Investments,https://halalstock.in/is-tata-technologies-ltd-halal-and-shariah-compliant/
Austere Systems Ltd,AUSTERE,,Computers - Software &amp; Consulting,https://halalstock.in/is-austere-systems-ltd-halal-and-shariah-compliant/
AUSTIN ENGINEERING CO.LTD.,AUSTENG,,Bearings,https://halalstock.in/is-austin-engineering-co-ltd-halal-and-shariah-compliant/
Australian Premium Solar (India) Ltd,,APS,Heavy Electrical Equipment,https://halalstock.in/is-australian-premium-solar-india-ltd-halal-and-shariah-compliant/
AUTO PINS (INDIA) LTD.,AUTOPINS,,Auto Ancillaries,https://halalstock.in/is-auto-pins-india-ltd-halal-and-shariah-compliant/
AUTOMOBILE CORPORATION OF GOA LTD.,ACGL,,Auto Ancillaries,https://halalstock.in/is-automobile-corporation-of-goa-ltd-halal-and-shariah-compliant/
AUTOMOTIVE AXLES LTD.,AUTOAXLES,AUTOAXLES,Auto Ancillaries,https://halalstock.in/is-automotive-axles-ltd-halal-and-shariah-compliant/
AUTOMOTIVE STAMPINGS &amp; ASSEMBLIES LTD.,ASAL,ASAL,Auto Ancillaries,https://halalstock.in/is-automotive-stampings-assemblies-ltd-halal-and-shariah-compliant/
Avalon Technologies Ltd,AVALON,AVALON,Other Electrical Equipment,https://halalstock.in/is-avalon-technologies-ltd-halal-and-shariah-compliant/
AVANTEL LTD.,AVANTEL,AVANTEL,Telecommunications - Equipment,https://halalstock.in/is-avantel-ltd-halal-and-shariah-compliant/
AVANTI FEEDS LTD.,AVANTI,AVANTIFEED,Food - Processing - Indian,https://halalstock.in/is-avanti-feeds-ltd-halal-and-shariah-compliant/
Avax Apparels and Ornaments Ltd,AVAX,,Other Textile Products,https://halalstock.in/is-barflex-polyfilms-limited-halal-and-shariah-compliant/
AVENUE SUPERMARTS LTD,DMART,DMART,Trading,https://halalstock.in/is-avenue-supermarts-ltd-halal-and-shariah-compliant/
Avi Ansh Textile Limited,,AVIANSH,Other Textile Products,https://halalstock.in/is-avi-ansh-textile-limited-halal-and-shariah-compliant/
AVI PRODUCTS INDIA LTD,APIL,,Trading,https://halalstock.in/is-avi-products-india-ltd-halal-and-shariah-compliant/
AVIVA INDUSTRIES LTD.,AVIVA,,Trading,https://halalstock.in/is-aviva-industries-ltd-halal-and-shariah-compliant/
AVRO INDIA,,AVROIND,Plastics Products,https://halalstock.in/is-avro-india-halal-and-shariah-compliant/
AVT NATURAL PRODUCTS LTD.,AVTNPL,AVTNPL,Solvent Extraction,https://halalstock.in/is-avt-natural-products-ltd-halal-and-shariah-compliant/
AWFIS Space Solutions Ltd,AWFIS,AWFIS,Diversified Commercial Services,https://halalstock.in/is-awfis-space-solutions-ltd-halal-and-shariah-compliant/
AXISCADES TECHNOLOGIES LTD,AXISCADES,AXISCADES,Computers - Software - Medium / Small,https://halalstock.in/is-axiscades-technologies-ltd-halal-and-shariah-compliant/
AXITA COTTON LTD,AXITA,AXITA,Textiles - Products,https://halalstock.in/is-axita-cotton-ltd-halal-and-shariah-compliant/
AXTEL INDUSTRIES LTD.,AXTEL,,Trading,https://halalstock.in/is-axtel-industries-ltd-halal-and-shariah-compliant/
AYM SYNTEX LTD,AYMSYNTEX,AYMSYNTEX,Textiles - Processing,https://halalstock.in/is-aym-syntex-ltd-halal-and-shariah-compliant/
Azad Engineering Ltd,AZAD,AZAD,Heavy Electrical Equipment,https://halalstock.in/is-azad-engineering-ltd-halal-and-shariah-compliant/
Aztec Fluids &amp; Machinery Ltd,AZTEC,,Computers Hardware &amp; Equipments,https://halalstock.in/is-aztec-fluids-machinery-ltd-halal-and-shariah-compliant/
B&amp;A PACKAGING INDIA LIMITED,BAPACK,,Packaging,https://halalstock.in/is-ba-packaging-india-limited-halal-and-shariah-compliant/
B&amp;B TRIPLEWALL,,BBTCL,Paper,https://halalstock.in/is-bb-triplewall-halal-and-shariah-compliant/
B.C. POWER CONTROLS LTD,BCP,BCP,Cables - Power,https://halalstock.in/is-b-c-power-controls-ltd-halal-and-shariah-compliant/
B.L.KASHYAP AND SONS LTD.,BLKASHYAP,BLKASHYAP,Construction,https://halalstock.in/is-b-l-kashyap-and-sons-ltd-halal-and-shariah-compliant/
B.R.Goyal Infrastructure Ltd,BRGIL,,Civil Construction,https://halalstock.in/is-b-r-goyal-infrastructure-ltd-halal-and-shariah-compliant/
B2B SOFTWARE TECHNOLOGIES LTD.,B2BSOFT,,Computers - Software - Medium / Small,https://halalstock.in/is-b2b-software-technologies-ltd-halal-and-shariah-compliant/
BAFNA PHARMACEUTICALS LTD.,BAFNAPHARM,BAFNAPH,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-bafna-pharmaceuticals-ltd-halal-and-shariah-compliant/
BAJAJ AUTO LTD.,BAJAJ-AUTO,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,https://halalstock.in/is-bajaj-auto-ltd-halal-and-shariah-compliant/
BAJAJ CONSUMER CARE LTD,BAJAJCON,BAJAJCON,Personal Care - Indian,https://halalstock.in/is-bajaj-consumer-care-ltd-halal-and-shariah-compliant/
BAJAJ ELECTRICALS LTD.,BAJAJELEC,BAJAJELEC,Domestic Appliances,https://halalstock.in/is-bajaj-electricals-ltd-halal-and-shariah-compliant/
BAJAJ HEALTHCARE LTD,BAJAJHCARE,BAJAJHCARE,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-bajaj-healthcare-ltd-halal-and-shariah-compliant/
BAJAJ STEEL INDUSTRIES LTD.,BAJAJST,,Steel - Medium / Small,https://halalstock.in/is-bajaj-steel-industries-ltd-halal-and-shariah-compliant/
Bajel Projects Ltd,BAJEL,BAJEL,Integrated Power Utilities,https://halalstock.in/is-bajel-projects-ltd-halal-and-shariah-compliant/
BALAJI AMINES LTD.,BALAMINES,BALAMINES,Chemicals,https://halalstock.in/is-balaji-amines-ltd-halal-and-shariah-compliant/
Balaji Phosphates Limited,,BALAJIPHOS,Fertilizers,https://halalstock.in/is-balaji-phosphates-limited-halal-and-shariah-compliant/
BALAXI PHARMA,,BALAXI,Trading,https://halalstock.in/is-balaxi-pharma-halal-and-shariah-compliant/
BALKRISHNA INDUSTRIES LTD.,BALKRISIND,BALKRISIND,Tyres,https://halalstock.in/is-balkrishna-industries-ltd-halal-and-shariah-compliant/
BALMER LAWRIE &amp; CO.LTD.,BALMLAWRIE,BALMLAWRIE,Diversified - Large,https://halalstock.in/is-balmer-lawrie-co-ltd-halal-and-shariah-compliant/
BALMER LAWRIE INVESTMENTS LTD.,BLIL,,Finance &amp; Investments,https://halalstock.in/is-balmer-lawrie-investments-ltd-halal-and-shariah-compliant/
BALU FORGE INDUSTRIES LTD,BALUFORGE,BALUFORGE,Engineering,https://halalstock.in/is-balu-forge-industries-ltd-halal-and-shariah-compliant/
BANCO PRODUCTS (INDIA) LTD.,BANCOINDIA,BANCOINDIA,Auto Ancillaries,https://halalstock.in/is-banco-products-india-ltd-halal-and-shariah-compliant/
BANSAL ROOFING PRODUCTS LTD,BRPL,,Steel - Medium / Small,https://halalstock.in/is-bansal-roofing-products-ltd-halal-and-shariah-compliant/
BANSAL WIRE INDUSTRIES LIMITED,,BANSALWIRE,Iron &amp; Steel Products,https://halalstock.in/is-bansal-wire-industries-limited-halal-and-shariah-compliant/
BANSISONS TEA INDUSTRIES LTD,BANSTEA,,Tea &amp; Coffee,https://halalstock.in/is-bansisons-tea-industries-ltd-halal-and-shariah-compliant/
Barflex Polyfilms Limited,,BARFLEX,Packaging,https://halalstock.in/is-barflex-polyfilms-limited-halal-and-shariah-compliant/
BARODA EXTRUSION LTD.,BAROEXT,,Mining / Minerals / Metals,https://halalstock.in/is-baroda-extrusion-ltd-halal-and-shariah-compliant/
BARON INFOTECH LTD,BARONINF,,Computers - Software - Medium / Small,https://halalstock.in/is-baron-infotech-ltd-halal-and-shariah-compliant/
BASF INDIA LTD.,BASF,BASF,Chemicals,https://halalstock.in/is-basf-india-ltd-halal-and-shariah-compliant/
BATA INDIA LTD.,BATAINDIA,BATAINDIA,Leather / Leather Products,https://halalstock.in/is-bata-india-ltd-halal-and-shariah-compliant/
BAYER CROPSCIENCE LTD.,BAYERCROP,BAYERCROP,Pesticides / Agrochemicals - Multinational,https://halalstock.in/is-bayer-cropscience-ltd-halal-and-shariah-compliant/
BCC FUBA INDIA LTD.,BCCFUBA,,Electronics - Components,https://halalstock.in/is-bcc-fuba-india-ltd-halal-and-shariah-compliant/
BDH INDUSTRIES LTD.,BDH,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-bdh-industries-ltd-halal-and-shariah-compliant/
BEARDSELL LTD,BEARDSELL,BEARDSELL,Plastics Products,https://halalstock.in/is-beardsell-ltd-halal-and-shariah-compliant/
BEEKAY STEEL INDUSTRIES LTD,BEEKAY,,Steel - Medium / Small,https://halalstock.in/is-beekay-steel-industries-ltd-halal-and-shariah-compliant/
BEEYU OVERSEAS LTD.,BEEYU,,Trading,https://halalstock.in/is-beeyu-overseas-ltd-halal-and-shariah-compliant/
Beezaasan Explotech Ltd,BEEZAASAN,,Explosives,https://halalstock.in/is-beezaasan-explotech-ltd-halal-and-shariah-compliant/
BELLA CASA FASHION &amp; RETAIL LTD,BELLACASA,,Textiles - Products,https://halalstock.in/is-bella-casa-fashion-retail-ltd-halal-and-shariah-compliant/
Belrise Industries Limited,BELRISE,BELRISE,Components &amp; Equipments,https://halalstock.in/is-belrise-industries-limited-halal-and-shariah-compliant/
BEMCO HYDRAULICS LTD.,BEMHY,,Engineering,https://halalstock.in/is-bemco-hydraulics-ltd-halal-and-shariah-compliant/
BEML LAND ASSETS LIMITED,,BLAL,Investment Company,https://halalstock.in/is-beml-land-assets-limited-halal-and-shariah-compliant/
BEML LTD.,BEML,BEML,Engineering,https://halalstock.in/is-beml-ltd-halal-and-shariah-compliant/
BENARES HOTELS LTD.,BENARAS,,Hotels,https://halalstock.in/is-benares-hotels-ltd-halal-and-shariah-compliant/
Benchmark Computer Solutions ltd,BENCHMARK,,IT Enabled Services,https://halalstock.in/is-benchmark-computer-solutions-ltd-halal-and-shariah-compliant/
BENGAL &amp; ASSAM COMPANY LTD.,BENGALASM,,Finance &amp; Investments,https://halalstock.in/is-bengal-assam-company-ltd-halal-and-shariah-compliant/
BERGER PAINTS INDIA LTD.,BERGEPAINT,BERGEPAINT,Paints / Varnishes,https://halalstock.in/is-berger-paints-india-ltd-halal-and-shariah-compliant/
BEST AGROLIFE LTD,BESTAGRO,BESTAGRO,Pesticides / Agrochemicals - Indian,https://halalstock.in/is-best-agrolife-ltd-halal-and-shariah-compliant/
BETA DRUGS LTD,,BETA,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-beta-drugs-ltd-halal-and-shariah-compliant/
BETEX INDIA LTD.,BETXIND,,Textiles - Processing,https://halalstock.in/is-betex-india-ltd-halal-and-shariah-compliant/
BEW Engineering Limited,,BEWLTD,Capital Goods,https://halalstock.in/is-bew-engineering-limited-halal-and-shariah-compliant/
Bhadora Industries Ltd,,BHADORA,Cables - Electricals,https://halalstock.in/is-bhadora-industries-ltd-halal-and-shariah-compliant/
BHAGERIA INDUSTRIES LTD,BHAGIL,BHAGERIA,Dyes And Pigments,https://halalstock.in/is-bhageria-industries-ltd-halal-and-shariah-compliant/
BHAGIRADHA CHEMICALS &amp; INDUSTRIES LTD.,BHAGCHEM,BHAGCHEM,Pesticides / Agrochemicals - Indian,https://halalstock.in/is-bhagiradha-chemicals-industries-ltd-halal-and-shariah-compliant/
BHAGWATI AUTOCAST LTD.,BGWTATO,,Castings &amp; Forgings,https://halalstock.in/is-bhagwati-autocast-ltd-halal-and-shariah-compliant/
BHAGYANAGAR PROPERTIES LTD,BHAGYAPROP,,Construction,https://halalstock.in/is-bhagyanagar-properties-ltd-halal-and-shariah-compliant/
BHAKTI GEMS AND JEWELLERY LTD,BGJL,,Diamond Cutting / Jewellery,https://halalstock.in/is-bhakti-gems-and-jewellery-ltd-halal-and-shariah-compliant/
BHANSALI ENGINEERING POLYMERS LTD.,BEPL,BEPL,Petrochemicals,https://halalstock.in/is-bhansali-engineering-polymers-ltd-halal-and-shariah-compliant/
BHARAT AGRI FERT &amp; REALTY LTD.,BHARATAGRI,,Fertilizers,https://halalstock.in/is-bharat-agri-fert-realty-ltd-halal-and-shariah-compliant/
BHARAT BIJLEE LTD.,BBL,BBL,Electric Equipment,https://halalstock.in/is-bharat-bijlee-ltd-halal-and-shariah-compliant/
BHARAT ELECTRONICS LTD.,BEL,BEL,Electronics - Components,https://halalstock.in/is-bharat-electronics-ltd-halal-and-shariah-compliant/
BHARAT FORGE LTD.,BHARATFORG,BHARATFORG,Castings &amp; Forgings,https://halalstock.in/is-bharat-forge-ltd-halal-and-shariah-compliant/
BHARAT HEAVY ELECTRICALS LTD.,BHEL,BHEL,Electric Equipment,https://halalstock.in/is-bharat-heavy-electricals-ltd-halal-and-shariah-compliant/
BHARAT PARENTERALS LTD,BPLPHARMA,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-bharat-parenterals-ltd-halal-and-shariah-compliant/
BHARAT RASAYAN LTD.,BHARATRAS,BHARATRAS,Pesticides / Agrochemicals - Indian,https://halalstock.in/is-bharat-rasayan-ltd-halal-and-shariah-compliant/
BHARAT SEATS LTD.,BHARATSE,,Auto Ancillaries,https://halalstock.in/is-bharat-seats-ltd-halal-and-shariah-compliant/
BHARAT WIRE ROPES LTD,BHARATWIRE,BHARATWIRE,Steel - Medium / Small,https://halalstock.in/is-bharat-wire-ropes-ltd-halal-and-shariah-compliant/
Bharatrohan Airborne Innovations Ltd,BHARATROHAN,,Other Agricultural Products,https://halalstock.in/is-bharatrohan-airborne-innovations-ltd-halal-and-shariah-compliant/
BHARTI AIRTEL LTD.,BHARTIARTL,BHARTIARTL,Telecommunications - Service Provider,https://halalstock.in/is-bharti-airtel-ltd-halal-and-shariah-compliant/
